S. No.,RMS,Maximum,Range,Standard Deviation,Sample Variance,Standard Error,P10,y
963,1.180692979,1.999368035,3.880963693,1.16830489,1.364936315,0.116830489,-1.302674402,0
964,1.19635382,1.997711882,3.952288685,1.193185437,1.423691487,0.119318544,-1.677803367,0
965,1.161210638,1.980725709,3.967664286,1.165232467,1.357766703,0.116523247,-1.615003318,0
966,1.190387759,1.985568194,3.982902961,1.196117647,1.430697425,0.119611765,-1.641546486,0
967,1.180590204,1.924489665,3.895788743,1.179858788,1.39206676,0.117985879,-1.455901537,0
968,1.154917943,1.964101095,3.950071292,1.158662102,1.342497868,0.11586621,-1.685058379,0
969,1.206587887,1.965320985,3.962089624,1.209604148,1.463142196,0.120960415,-1.618470566,0
970,0.960471946,1.928291476,3.835224319,0.956411446,0.914722853,0.095641145,-1.507696771,0
971,1.134166649,1.991285004,3.946922971,1.138961964,1.297234356,0.113896196,-1.428019303,0
972,1.104938303,1.997756264,3.997591846,1.104709921,1.220384009,0.110470992,-1.380489441,0
973,1.089382049,1.955357657,3.856639772,1.093149762,1.194976402,0.109314976,-1.498247636,0
974,1.170700447,1.963484659,3.956371968,1.174055022,1.378405195,0.117405502,-1.612750937,0
975,1.199317759,1.985710695,3.9259787,1.205311872,1.452776708,0.120531187,-1.665457145,0
976,1.198016495,1.936932783,3.934389447,1.203136808,1.44753818,0.120313681,-1.519145217,0
977,1.214584885,1.911494955,3.841889092,1.218217978,1.484055042,0.121821798,-1.774214489,0
978,1.208092401,1.931407318,3.888152282,1.213612304,1.472854825,0.12136123,-1.662157362,0
979,1.136177429,1.996732834,3.984693739,1.139992448,1.299582782,0.113999245,-1.665120508,0
980,1.161442079,1.816004358,3.752348608,1.165806324,1.359104384,0.116580632,-1.651505242,0
981,1.220708584,1.972306228,3.96640384,1.224755294,1.500025531,0.122475529,-1.588239841,0
982,1.130712047,1.983154404,3.976179123,1.125244599,1.266175407,0.11252446,-1.644592458,0
983,1.166026386,1.981104604,3.944170117,1.163305709,1.353280172,0.116330571,-1.570503869,0
984,1.251503002,1.986942156,3.977064892,1.247766287,1.556920708,0.124776629,-1.652477231,0
985,1.220158076,1.915591033,3.910164263,1.226040642,1.503175656,0.122604064,-1.538310942,0
986,1.045606018,1.998873608,3.925038565,1.045399483,1.09286008,0.104539948,-1.379361031,0
987,1.137772085,1.994765845,3.967925969,1.139016883,1.29735946,0.113901688,-1.458941765,0
988,1.081311932,1.949842373,3.849546911,1.086621095,1.180745405,0.10866211,-1.302010737,0
989,1.177033475,1.942170549,3.934025811,1.181596095,1.396169333,0.11815961,-1.63656869,0
990,1.21759118,1.990207617,3.957711595,1.219318564,1.486737759,0.121931856,-1.727916388,0
991,1.225072072,1.99415739,3.991351068,1.216140289,1.478997202,0.121614029,-1.598561654,0
992,1.215173094,1.954427948,3.858267014,1.220463976,1.489532317,0.122046398,-1.618804535,0
993,1.247241165,1.985222204,3.899559799,1.25290715,1.569776326,0.125290715,-1.705437224,0
994,1.185573556,1.943222376,3.915416683,1.190888622,1.418215709,0.119088862,-1.603900164,0
995,1.145037667,1.95807698,3.93803062,1.134908729,1.288017822,0.113490873,-1.656421521,0
996,1.218337442,1.904944493,3.900180518,1.224114447,1.498456179,0.122411445,-1.664019828,0
997,1.126033881,1.995165231,3.774146709,1.124156105,1.263726949,0.112415611,-1.426083928,0
998,1.167224303,1.980213332,3.96936224,1.151069156,1.324960203,0.115106916,-1.447888967,0
999,1.207349584,1.943493421,3.94116895,1.207960774,1.459169231,0.120796077,-1.662834872,0
1000,1.086684791,1.981664752,3.925198757,1.067494556,1.139544626,0.106749456,-1.575817418,0
1001,1.159733978,1.908893019,3.884733415,1.161168204,1.348311597,0.11611682,-1.482905877,0
1002,1.108157604,1.987144311,3.953347067,1.11368805,1.240301072,0.111368805,-1.532369339,0
1003,1.103322447,1.962131303,3.93611468,1.108844416,1.229535938,0.110884442,-1.642436097,0
1004,1.151008065,1.949034366,3.942386335,1.15651705,1.337531687,0.115651705,-1.639608498,0
1005,1.230367522,1.991035579,3.984857606,1.228019434,1.508031731,0.122801943,-1.776943382,0
1006,1.242634818,1.962731749,3.904743194,1.24548078,1.551222373,0.124548078,-1.627981298,0
1007,1.205916794,1.952575112,3.941894357,1.210869322,1.466204515,0.121086932,-1.729961384,0
1008,1.080954372,1.961462835,3.918897528,1.085302398,1.177881296,0.10853024,-1.698226409,0
1009,1.145686467,1.913802014,3.834224136,1.133954141,1.285851994,0.113395414,-1.435695432,0
1010,1.140409195,1.994368178,3.973767283,1.145815305,1.312892714,0.114581531,-1.649199583,0
1011,1.131966834,1.978232974,3.939461614,1.135401669,1.289136951,0.113540167,-1.504613326,0
1012,1.175387258,1.989316686,3.96869369,1.178038024,1.387773586,0.117803802,-1.618019112,0
1013,1.189638285,1.968036863,3.923573564,1.17454523,1.379556497,0.117454523,-1.44623952,0
1014,1.146931029,1.899727854,3.826997221,1.152172374,1.32750118,0.115217237,-1.641527486,0
1015,1.150531162,1.893666803,3.875345613,1.149251972,1.320780094,0.114925197,-1.580725475,0
1016,1.131775402,1.95290237,3.925582672,1.127481489,1.271214507,0.112748149,-1.479508621,0
1017,1.174771043,1.936575694,3.925479065,1.180266464,1.393028926,0.118026646,-1.543865234,0
1018,1.112436039,1.935426971,3.904201541,1.116048429,1.245564096,0.111604843,-1.496403037,0
1019,1.162015176,1.970051079,3.871658688,1.16203447,1.35032411,0.116203447,-1.304638572,0
1020,1.127312849,1.995960073,3.992130751,1.132281969,1.282062458,0.113228197,-1.573966425,0
1021,1.127968914,1.959824819,3.946916522,1.132926337,1.283522086,0.113292634,-1.565827788,0
1022,1.20369791,1.982694059,3.919199523,1.209477003,1.462834622,0.1209477,-1.561374542,0
1023,1.12764072,1.922082264,3.848933332,1.125288805,1.266274895,0.11252888,-1.409315622,0
1024,1.203262036,1.970990459,3.915114674,1.20894247,1.461541896,0.120894247,-1.576007142,0
1025,1.180268244,1.952242132,3.916355425,1.184298258,1.402562363,0.118429826,-1.473085675,0
1026,1.159725465,1.960276104,3.948789521,1.162295557,1.350930962,0.116229556,-1.562953551,0
1027,1.084679374,1.994149763,3.840086631,1.089786475,1.18763456,0.108978647,-1.527655004,0
1028,1.261409022,1.993935862,3.953733154,1.262804439,1.594675051,0.126280444,-1.728511771,0
1029,1.132376872,1.967630488,3.964483528,1.113499916,1.239882063,0.111349992,-1.626895727,0
1030,1.216845421,1.962419897,3.919506142,1.217028709,1.481158878,0.121702871,-1.586702573,0
1031,1.185150394,1.968173713,3.920535136,1.190116835,1.416378082,0.119011684,-1.62706997,0
1032,1.194301614,1.99932631,3.976693461,1.20030428,1.440730364,0.120030428,-1.425614345,0
1033,1.080942685,1.991511775,3.974063669,1.073950959,1.153370662,0.107395096,-1.579810973,0
1034,1.143510094,1.974999947,3.896859399,1.132831958,1.283308244,0.113283196,-1.453775504,0
1035,1.214897122,1.955879256,3.925196311,1.220652817,1.489993299,0.122065282,-1.532721308,0
1036,1.199896857,1.956164815,3.932326634,1.190675955,1.417709229,0.119067595,-1.673558274,0
1037,1.214465363,1.884279218,3.867169501,1.214998849,1.476222203,0.121499885,-1.690115635,0
1038,1.158633029,1.953713397,3.950746996,1.158358084,1.341793451,0.115835808,-1.599960538,0
1039,1.135117028,1.992948826,3.907721711,1.140170382,1.299988499,0.114017038,-1.518465247,0
1040,1.244505039,1.975854451,3.972552522,1.2311861,1.515819213,0.12311861,-1.538665573,0
1041,1.164984192,1.994019276,3.951667469,1.168208664,1.364711483,0.116820866,-1.728138842,0
1042,1.176910973,1.921386641,3.91852381,1.181868727,1.396813689,0.118186873,-1.80025512,0
1043,1.130234328,1.956623377,3.943538556,1.129303551,1.27532651,0.112930355,-1.709688586,0
1044,1.080346234,1.898592565,3.829092508,1.083720089,1.174449232,0.108372009,-1.596131052,0
1045,1.115935101,1.934240591,3.852487238,1.121028043,1.256703873,0.112102804,-1.483861912,0
1046,1.138813526,1.994802633,3.97356145,1.143751639,1.308167811,0.114375164,-1.555270881,0
1047,1.096243222,1.916440351,3.855947178,1.101763176,1.213882097,0.110176318,-1.624519938,0
1048,1.163967272,1.986738663,3.928961138,1.167062299,1.36203441,0.11670623,-1.651647853,0
1049,1.196622252,1.963797159,3.930065624,1.201625816,1.443904602,0.120162582,-1.648927954,0
1050,1.077363411,1.953546322,3.896855882,1.081872661,1.170448455,0.108187266,-1.451043442,0
1051,1.172459231,1.847819063,3.844436142,1.176196657,1.383438576,0.117619666,-1.550641815,0
1052,1.197042638,1.869179111,3.855943142,1.200771361,1.441851861,0.120077136,-1.571580254,0
1053,1.053026522,1.970369869,3.962427033,1.058057806,1.119486321,0.105805781,-1.420755398,0
1054,1.234206769,1.985379688,3.85763072,1.240414241,1.538627489,0.124041424,-1.556029767,0
1055,1.086934836,1.951680402,3.861581866,1.090810192,1.189866876,0.109081019,-1.40801316,0
1056,1.264101685,1.99108636,3.931873648,1.266032511,1.60283832,0.126603251,-1.826736773,0
1057,1.204504644,1.994378304,3.984820696,1.210263493,1.464737722,0.121026349,-1.716135179,0
1058,1.137012207,1.98672578,3.887599424,1.142564404,1.305453417,0.11425644,-1.604218391,0
1059,1.206625497,1.975606003,3.90544521,1.208846216,1.461309175,0.120884622,-1.566034329,0
1060,1.17842102,1.959293047,3.91606109,1.172586435,1.374958948,0.117258644,-1.482901958,0
1061,1.141827766,1.978574193,3.871257499,1.136555208,1.291757741,0.113655521,-1.523580376,0
1062,1.138477413,1.933132956,3.926740209,1.140179855,1.300010101,0.114017985,-1.410522541,0
1063,1.037917337,1.859440067,3.829940023,1.042370626,1.086536522,0.104237063,-1.471107963,0
1064,1.179061101,1.920063666,3.883596316,1.183398425,1.400431832,0.118339842,-1.650207709,0
1065,1.105810877,1.97928144,3.883052285,1.098763441,1.207281098,0.109876344,-1.293163335,0
1066,1.130249331,1.951228448,3.807205516,1.13590325,1.290276194,0.113590325,-1.56677818,0
1067,1.113006167,1.908015738,3.863436813,1.118452804,1.250936675,0.11184528,-1.388356337,0
1068,1.145201761,1.974919435,3.948591015,1.149180272,1.320615297,0.114918027,-1.644954228,0
1069,1.038463688,1.973232034,3.947741949,1.039787177,1.081157373,0.103978718,-1.452737697,0
1070,1.08110138,1.979290659,3.927119705,1.076234582,1.158280875,0.107623458,-1.626481034,0
1071,1.211012521,1.940607667,3.919062738,1.215200287,1.476711738,0.121520029,-1.658401683,0
1072,1.144821392,1.994624652,3.947721802,1.146190572,1.313752827,0.114619057,-1.763085871,0
1073,1.123417178,1.883960336,3.859851527,1.125590724,1.266954478,0.112559072,-1.563491875,0
1074,1.096736201,1.980015265,3.894748593,1.090191646,1.188517825,0.109019165,-1.491473293,0
1075,1.130244104,1.997404674,3.997334973,1.134785515,1.287738164,0.113478551,-1.575794552,0
1076,1.044451219,1.948406024,3.799067442,1.048298462,1.098929666,0.104829846,-1.419284712,0
1077,1.127323263,1.965415339,3.951786031,1.132090447,1.281628781,0.113209045,-1.656583773,0
1078,1.099544894,1.978891014,3.933285247,1.102779314,1.216122216,0.110277931,-1.418320972,0
1079,1.146799057,1.989269484,3.983427056,1.149341447,1.320985762,0.114934145,-1.641335635,0
1080,1.16168804,1.95177887,3.842066996,1.121636513,1.258068468,0.112163651,-1.403760042,0
1081,1.204420799,1.942792077,3.918317927,1.210348521,1.464943543,0.121034852,-1.717858801,0
1082,1.147867944,1.981452609,3.974817951,1.151293417,1.325476531,0.115129342,-1.589224766,0
1083,1.102637543,1.984140229,3.971201449,1.104069229,1.218968862,0.110406923,-1.446965293,0
1084,1.155803233,1.904178257,3.901695823,1.157287935,1.339315364,0.115728793,-1.662391641,0
1085,1.072234043,1.95039874,3.905644383,1.074747073,1.155081271,0.107474707,-1.47975053,0
1086,1.197751408,1.986662207,3.97741586,1.203741735,1.448994164,0.120374173,-1.721597251,0
1087,1.198543482,1.998971624,3.984571853,1.201967522,1.444725925,0.120196752,-1.594555456,0
1088,1.108185518,1.917242887,3.894383151,1.101277431,1.21281198,0.110127743,-1.522206012,0
1089,1.131529247,1.966683034,3.966163949,1.136851527,1.292431394,0.113685153,-1.569496712,0
1090,1.162455409,1.833807339,3.823954314,1.14899556,1.320190797,0.114899556,-1.526310089,0
1091,1.130085507,1.881180152,3.844672338,1.130700419,1.278483436,0.113070042,-1.636693807,0
1092,1.173621748,1.976303247,3.9332187,1.167603193,1.363297216,0.116760319,-1.411386532,0
1093,1.175654824,1.995178535,3.979849185,1.177366287,1.386191373,0.117736629,-1.481565703,0
1094,1.14943674,1.996913449,3.99087197,1.153346999,1.330209301,0.1153347,-1.660947359,0
1095,1.128227941,1.958510302,3.918550376,1.129877649,1.276623502,0.112987765,-1.585639463,0
1096,1.178571496,1.996333429,3.982468529,1.184443892,1.402907334,0.118444389,-1.564651065,0
1097,1.259095365,1.944860524,3.881276358,1.265058533,1.600373093,0.126505853,-1.653330316,0
1098,1.149262263,1.985671095,3.92361225,1.147796546,1.31743691,0.114779655,-1.431744215,0
1099,1.175311738,1.976757817,3.925782533,1.174557029,1.379584215,0.117455703,-1.567768431,0
1100,1.158406653,1.965876003,3.94020874,1.156911392,1.33844397,0.115691139,-1.597753138,0
1101,1.255516728,1.976898439,3.972280141,1.251628971,1.56657508,0.125162897,-1.739087082,0
1102,1.1435966,1.989147716,3.978898747,1.133391685,1.284576711,0.113339168,-1.35951526,0
1103,1.146170795,1.993060458,3.962273537,1.140827976,1.301488472,0.114082798,-1.558016104,0
1104,1.112128869,1.971900256,3.83938228,1.113645711,1.240206769,0.111364571,-1.642611098,0
1105,1.11948519,1.948853541,3.912450655,1.115681583,1.244745395,0.111568158,-1.580312914,0
1106,1.22563512,1.903481371,3.887222844,1.217355885,1.481955351,0.121735589,-1.695323286,0
1107,1.093813636,1.857664115,3.852054944,1.085007404,1.177241067,0.10850074,-1.599312415,0
1108,1.117710546,1.995550162,3.983153991,1.122698813,1.260452624,0.112269881,-1.518211654,0
1109,1.182294658,1.987424781,3.960266467,1.18483374,1.403830992,0.118483374,-1.485148878,0
1110,1.089079836,1.976790216,3.921607813,1.093924275,1.196670319,0.109392427,-1.524081879,0
1111,1.135615616,1.949704146,3.915631733,1.140237935,1.300142548,0.114023793,-1.553503028,0
1112,1.086669215,1.934743655,3.931995642,1.077171043,1.160297456,0.107717104,-1.502819866,0
1113,1.16541476,1.98638017,3.947935529,1.163581623,1.353922194,0.116358162,-1.609767763,0
1114,1.211805956,1.957244178,3.920156002,1.21791081,1.48330674,0.121791081,-1.731249911,0
1115,1.148185235,1.969321449,3.949061652,1.130387783,1.27777654,0.113038778,-1.749573589,0
1116,1.107821254,1.919452744,3.895361786,1.110098704,1.232319134,0.11100987,-1.575987543,0
1117,1.219809314,1.965514192,3.897841661,1.206982978,1.456807909,0.120698298,-1.564928662,0
1118,1.129027013,1.976083448,3.943651,1.114416658,1.241924488,0.111441666,-1.631623276,0
1119,1.114714215,1.868796519,3.832130573,1.116086148,1.24564829,0.111608615,-1.614745396,0
1120,1.182147573,1.850022547,3.782812136,1.185331591,1.40501098,0.118533159,-1.622952859,0
1121,1.142637676,1.974349347,3.895742854,1.143768984,1.30820749,0.114376898,-1.661900725,0
1122,1.133131131,1.98802045,3.908308404,1.134147743,1.286291103,0.113414774,-1.466700232,0
1123,1.143112563,1.938023773,3.909511304,1.138982975,1.297282216,0.113898297,-1.44774449,0
1124,1.188804258,1.984247617,3.943871012,1.191302242,1.419201033,0.119130224,-1.512294835,0
1125,1.083892894,1.939721032,3.878961967,1.081002859,1.168567181,0.108100286,-1.203490992,0
1126,1.139795537,1.983749314,3.89276757,1.142837916,1.306078501,0.114283792,-1.605514585,0
1127,1.171329866,1.994104489,3.915677059,1.168142165,1.364556118,0.116814217,-1.515167942,0
1128,1.202358778,1.992222473,3.952236666,1.20841219,1.460260022,0.120841219,-1.567991084,0
1129,1.134361237,1.990837722,3.957908658,1.127657811,1.271612139,0.112765781,-1.334649868,0
1130,1.146146678,1.91796856,3.862594124,1.151919841,1.326919321,0.115191984,-1.478961866,0
1131,1.205935749,1.985814983,3.98477795,1.211803178,1.468466943,0.121180318,-1.679442704,0
1132,1.136795456,1.978095817,3.97468798,1.142040763,1.304257104,0.114204076,-1.554082775,0
1133,1.177356203,1.912236878,3.88921995,1.178531325,1.388936083,0.117853132,-1.645299272,0
1134,1.058188791,1.935114604,3.921581591,1.057248141,1.117773631,0.105724814,-1.451879674,0
1135,1.118940583,1.976958399,3.952724037,1.123163967,1.261497297,0.112316397,-1.602436923,0
1136,1.11121265,1.923172961,3.90890261,1.092790934,1.194192025,0.109279093,-1.601418412,0
1137,1.167888395,1.999026404,3.893858071,1.166878605,1.361605679,0.116687861,-1.604672771,0
1138,1.192219833,1.85740654,3.848130336,1.189353628,1.414562053,0.118935363,-1.818836964,0
1139,1.162499054,1.990528537,3.930183644,1.167928539,1.364057073,0.116792854,-1.461525034,0
1140,1.157672804,1.886764428,3.878613751,1.162834492,1.352184056,0.116283449,-1.552222107,0
1141,1.099273479,1.942535099,3.936053125,1.087793973,1.183295727,0.108779397,-1.591697696,0
1142,1.169517069,1.932481452,3.918887242,1.17540853,1.381585211,0.117540853,-1.467955599,0
1143,1.169520288,1.994867004,3.990270488,1.170628347,1.370370726,0.117062835,-1.595886797,0
1144,1.099971465,1.993374439,3.985609653,1.105511038,1.222154656,0.110551104,-1.593248194,0
1145,1.193202503,1.978939168,3.971080077,1.191533582,1.419752278,0.119153358,-1.659801024,0
1146,1.205110179,1.991936705,3.981346242,1.199786653,1.439488012,0.119978665,-1.690490386,0
1147,1.196043004,1.990815455,3.989705623,1.202067733,1.444966835,0.120206773,-1.721615348,0
1148,1.127944628,1.998164249,3.959447769,1.124070653,1.263534834,0.112407065,-1.574246126,0
1149,1.232399147,1.985234332,3.982253628,1.238496616,1.533873867,0.123849662,-1.726330103,0
1150,1.168517852,1.969936233,3.924744058,1.174359846,1.379121048,0.117435985,-1.670708099,0
1151,1.102617064,1.955832224,3.806079552,1.107712167,1.227026245,0.110771217,-1.586497081,0
1152,1.074443213,1.967916677,3.874783786,1.079399305,1.16510286,0.107939931,-1.599984674,0
1153,1.129694521,1.938677013,3.927939421,1.134905175,1.288009756,0.113490517,-1.608527635,0
1154,1.089758979,1.981184038,3.899506168,1.094011058,1.196860194,0.109401106,-1.379438927,0
1155,1.063555335,1.98852113,3.970217163,1.068861313,1.142464507,0.106886131,-1.332127327,0
1156,1.057646483,1.968300928,3.951439504,1.057979251,1.119320095,0.105797925,-1.440257756,0
1157,1.270930511,1.943270341,3.909180203,1.275395622,1.626633994,0.127539562,-1.776994126,0
1158,1.098010716,1.92099048,3.895443105,1.102531519,1.215575751,0.110253152,-1.641398449,0
1159,1.146717908,1.926415558,3.889243904,1.151166286,1.325183817,0.115116629,-1.639713692,0
1160,1.088418392,1.998038035,3.963728398,1.092848625,1.194318117,0.109284862,-1.597234,0
1161,1.08225117,1.979583848,3.971403356,1.081127128,1.168835867,0.108112713,-1.445448991,0
1162,1.194433386,1.938055426,3.917585742,1.200257635,1.440618391,0.120025764,-1.529960264,0
1163,1.112987105,1.898851562,3.859041863,1.114738727,1.242642429,0.111473873,-1.499707313,0
1164,1.156641196,1.947124545,3.9450128,1.15845443,1.342016667,0.115845443,-1.496840128,0
1165,1.093281232,1.996473955,3.959580872,1.080636273,1.167774754,0.108063627,-1.705936123,0
1166,1.084230101,1.96666005,3.942517715,1.08577419,1.178905591,0.108577419,-1.556931547,0
1167,1.180376863,1.94699302,3.926649844,1.183351164,1.400319978,0.118335116,-1.64589053,0
1168,1.160579158,1.845404629,3.830028909,1.152628085,1.328551503,0.115262809,-1.814188806,0
1169,1.275300916,1.96411009,3.935300317,1.281139637,1.641318768,0.128113964,-1.790279406,0
1170,1.212078448,1.970442793,3.95982062,1.209094166,1.461908702,0.120909417,-1.616893462,0
1171,1.248414156,1.916145092,3.898355226,1.254413899,1.57355423,0.12544139,-1.566656314,0
1172,1.084712397,1.991496247,3.945669461,1.090106912,1.18833308,0.109010691,-1.550167813,0
1173,1.225825113,1.978623416,3.923614513,1.227301329,1.506268552,0.122730133,-1.654851605,0
1174,1.176027029,1.894761596,3.884873651,1.170870207,1.370937043,0.117087021,-1.766934245,0
1175,1.190824977,1.965756891,3.956045253,1.185403527,1.405181522,0.118540353,-1.63376623,0
1176,1.217567542,1.980857826,3.979671345,1.220817048,1.490394265,0.122081705,-1.699770803,0
1177,1.176981836,1.970359086,3.958842624,1.178304519,1.38840154,0.117830452,-1.544630929,0
1178,1.17583634,1.960917075,3.937797562,1.1806033,1.393824153,0.11806033,-1.678775415,0
1179,1.12472575,1.910616916,3.88639241,1.124893124,1.265384541,0.112489312,-1.647695681,0
1180,1.08844716,1.983796029,3.935834683,1.092448045,1.193442731,0.109244805,-1.565853121,0
1181,1.045370128,1.89876109,3.882770855,1.048436414,1.099218914,0.104843641,-1.489758369,0
1182,1.140252693,1.98574214,3.922402671,1.144678974,1.310289953,0.114467897,-1.592834937,0
1183,1.084967752,1.997557093,3.942805328,1.085401685,1.178096818,0.108540168,-1.533711172,0
1184,1.176198825,1.971133025,3.904963642,1.177423525,1.386326158,0.117742353,-1.676154035,0
1185,1.153036518,1.957823263,3.951347212,1.157126448,1.338941616,0.115712645,-1.699047731,0
1186,1.098660372,1.952226559,3.941500871,1.091270753,1.190871856,0.109127075,-1.590531733,0
1187,1.244522311,1.971898776,3.928628031,1.235677863,1.52689978,0.123567786,-1.527582263,0
1188,1.101848754,1.949096621,3.933166657,1.095425212,1.199956395,0.109542521,-1.442933506,0
1189,1.098553533,1.966080689,3.92469248,1.097306769,1.204082146,0.109730677,-1.60199591,0
1190,1.205093189,1.990729995,3.990106658,1.211077953,1.466709809,0.121107795,-1.628901357,0
1191,1.16480241,1.988261802,3.968406963,1.169500568,1.367731578,0.116950057,-1.629368329,0
1192,1.14624857,1.915718136,3.901773691,1.151560776,1.32609222,0.115156078,-1.530989454,0
1193,1.141647368,1.89918518,3.866750836,1.139562327,1.298602296,0.113956233,-1.532886853,0
1194,1.187118872,1.913259461,3.907582037,1.185387579,1.405143713,0.118538758,-1.659007738,0
1195,1.139261389,1.983439839,3.961592675,1.139745267,1.299019274,0.113974527,-1.468956663,0
1196,1.05558314,1.975887016,3.954285695,1.060074121,1.123757142,0.106007412,-1.722235468,0
1197,1.167677375,1.979735715,3.954966326,1.17268057,1.375179718,0.117268057,-1.531639017,0
1198,1.298359672,1.997861081,3.994387523,1.296348459,1.680519327,0.129634846,-1.712878337,0
1199,1.204480462,1.998649868,3.95358238,1.207471112,1.457986485,0.120747111,-1.790289431,0
1200,1.288492245,1.96828329,3.941460026,1.294933057,1.676851623,0.129493306,-1.759212457,0
1201,1.145146002,1.922381301,3.919070909,1.114303337,1.241671927,0.111430334,-1.64778855,0
1202,1.134304573,1.899876383,3.850545576,1.139968792,1.299528846,0.113996879,-1.654637897,0
1203,1.127855772,1.991687838,3.957432918,1.131216152,1.279649982,0.113121615,-1.43963441,0
1204,1.174228918,1.936254321,3.87571133,1.178458684,1.38876487,0.117845868,-1.502929586,0
1205,1.190689803,1.998935354,3.994987304,1.185796884,1.406114249,0.118579688,-1.357330933,0
1206,1.103558237,1.924334418,3.831687177,1.109111177,1.230127603,0.110911118,-1.449789196,0
1207,1.096785027,1.998261271,3.949407959,1.09737893,1.204240516,0.109737893,-1.4159565,0
1208,1.167796713,1.993641215,3.943738937,1.163871844,1.35459767,0.116387184,-1.632181516,0
1209,1.155547662,1.990321876,3.931410459,1.159685657,1.344870822,0.115968566,-1.480033454,0
1210,1.215281769,1.990724187,3.953658388,1.220016487,1.488440229,0.122001649,-1.686102865,0
1211,1.160013258,1.994525204,3.97829836,1.164567435,1.35621731,0.116456743,-1.402144234,0
1212,1.188517368,1.99566353,3.9345268,1.192895384,1.422999397,0.119289538,-1.724816104,0
1213,1.119585793,1.97088182,3.970859722,1.124727455,1.265011848,0.112472745,-1.600140697,0
1214,1.196737185,1.95761814,3.945532416,1.201259774,1.443025044,0.120125977,-1.683195459,0
1215,1.209612704,1.953285096,3.913782773,1.210352431,1.464953006,0.121035243,-1.695241104,0
1216,1.067748462,1.981546705,3.947857182,1.063474528,1.130978073,0.106347453,-1.321833551,0
1217,1.229224255,1.976881207,3.930255975,1.235195393,1.525707659,0.123519539,-1.61923395,0
1218,1.092742884,1.964618381,3.856887007,1.092916293,1.194466023,0.109291629,-1.49603391,0
1219,1.176787988,1.939771897,3.867902,1.182063424,1.397273938,0.118206342,-1.701964984,0
1220,1.225063315,1.966000683,3.96195971,1.226544583,1.504411613,0.122654458,-1.627515297,0
1221,1.165922176,1.965968587,3.903410096,1.157829685,1.340569579,0.115782968,-1.684310225,0
1222,1.118299093,1.958075137,3.911605784,1.115226711,1.243730617,0.111522671,-1.431091806,0
1223,1.11348982,1.949782451,3.935354636,1.114777797,1.242729537,0.11147778,-1.767057922,0
1224,1.150910787,1.988008362,3.985452253,1.149181639,1.32061844,0.114918164,-1.604690481,0
1225,1.123604186,1.979017362,3.968257097,1.114805427,1.242791139,0.111480543,-1.76070877,0
1226,1.081811459,1.90000485,3.844859635,1.087043614,1.181663818,0.108704361,-1.650896675,0
1227,1.078743188,1.869735687,3.826459181,1.078978999,1.164195679,0.1078979,-1.354263354,0
1228,1.105160559,1.968767679,3.967127715,1.094735096,1.198444931,0.10947351,-1.480266713,0
1229,1.055522106,1.972480355,3.95477894,1.059811445,1.123200299,0.105981144,-1.513412398,0
1230,1.208538729,1.985562003,3.867929718,1.213972644,1.47372958,0.121397264,-1.634264068,0
1231,1.127937582,1.910475752,3.864697256,1.128538503,1.273599152,0.11285385,-1.571974621,0
1232,1.123120242,1.989507307,3.979662308,1.12566817,1.26712883,0.112566817,-1.464823651,0
1233,1.155774231,1.943751677,3.901986283,1.161551131,1.34920103,0.116155113,-1.570659128,0
1234,1.139331444,1.976112313,3.944191903,1.142860934,1.306131114,0.114286093,-1.448128767,0
1235,1.175548175,1.998710473,3.988537407,1.176848862,1.384973243,0.117684886,-1.58612984,0
1236,1.137103457,1.963653148,3.937849578,1.119470738,1.253214734,0.111947074,-1.546751039,0
1237,1.192507602,1.952737159,3.924326555,1.197217697,1.433330215,0.11972177,-1.470202075,0
1238,1.123210506,1.99448291,3.877721297,1.127704835,1.271718196,0.112770484,-1.332782917,0
1239,1.076792632,1.889001318,3.878729093,1.08200443,1.170733587,0.108200443,-1.767163606,0
1240,1.114321666,1.953823978,3.764751296,1.097104035,1.203637263,0.109710403,-1.281813615,0
1241,1.131016998,1.932395795,3.913398566,1.13268739,1.282980723,0.113268739,-1.735182011,0
1242,1.20324317,1.945638397,3.898606083,1.209019921,1.461729169,0.120901992,-1.639765596,0
1243,1.042262742,1.984376913,3.911040133,1.047460953,1.097174449,0.104746095,-1.34035566,0
1244,1.157626575,1.961876131,3.957124898,1.163358211,1.353402328,0.116335821,-1.663818421,0
1245,1.047013282,1.986209468,3.823060453,1.04145522,1.084628976,0.104145522,-1.263108353,0
1246,1.1709241,1.981779885,3.980378574,1.165695742,1.358846562,0.116569574,-1.464187563,0
1247,1.19653053,1.987430246,3.982724784,1.187959225,1.411247121,0.118795923,-1.692674714,0
1248,1.0519174,1.986513089,3.787704474,1.046854089,1.095903484,0.104685409,-1.425971394,0
1249,1.028136039,1.890439815,3.80009826,1.028538223,1.057890877,0.102853822,-1.219110505,0
1250,1.181436219,1.92004782,3.900333772,1.184348289,1.402680869,0.118434829,-1.586765785,0
1251,1.140013493,1.980655934,3.90085199,1.14485298,1.310688345,0.114485298,-1.619275718,0
1252,1.176599559,1.967714224,3.926880808,1.167885995,1.363957697,0.1167886,-1.558461531,0
1253,1.225919382,1.962704625,3.907841787,1.231398975,1.516343435,0.123139897,-1.547661681,0
